
HELL
Ceiling: 253, 201, 169
Floor: 220, 100, 30
Player pos >> x:288.000000 (4), y: 96.000000 (1), Player angle: 180.000000
Size of map >> y:3, x: 6
t(3, 2), ray: 0 >> ray: 210.000000, colonm_point: 46
 t(3, 2), ray: 1 >> ray: 209.899994, colonm_point: 46
 t(3, 2), ray: 2 >> ray: 209.800003, colonm_point: 46
 t(3, 2), ray: 3 >> ray: 209.699997, colonm_point: 46
 t(3, 2), ray: 4 >> ray: 209.600006, colonm_point: 45
 t(3, 2), ray: 5 >> ray: 209.500000, colonm_point: 45
 t(3, 2), ray: 6 >> ray: 209.399994, colonm_point: 45
 t(3, 2), ray: 7 >> ray: 209.300003, colonm_point: 45
 t(3, 2), ray: 8 >> ray: 209.199997, colonm_point: 44
 t(3, 2), ray: 9 >> ray: 209.100006, colonm_point: 44
 t(3, 2), ray: 10 >> ray: 209.000000, colonm_point: 44
 t(3, 2), ray: 11 >> ray: 208.899994, colonm_point: 44
 t(3, 2), ray: 12 >> ray: 208.800003, colonm_point: 43
 t(3, 2), ray: 13 >> ray: 208.699997, colonm_point: 43
 t(3, 2), ray: 14 >> ray: 208.600006, colonm_point: 43
 t(3, 2), ray: 15 >> ray: 208.500000, colonm_point: 42
 t(3, 2), ray: 16 >> ray: 208.399994, colonm_point: 42
 t(3, 2), ray: 17 >> ray: 208.300003, colonm_point: 42
 t(3, 2), ray: 18 >> ray: 208.199997, colonm_point: 42
 t(3, 2), ray: 19 >> ray: 208.100006, colonm_point: 41
 t(3, 2), ray: 20 >> ray: 208.000000, colonm_point: 41
 t(3, 2), ray: 21 >> ray: 207.899994, colonm_point: 41
 t(3, 2), ray: 22 >> ray: 207.800003, colonm_point: 41
 t(3, 2), ray: 23 >> ray: 207.699997, colonm_point: 40
 t(3, 2), ray: 24 >> ray: 207.600006, colonm_point: 40
 t(3, 2), ray: 25 >> ray: 207.500000, colonm_point: 40
 t(3, 2), ray: 26 >> ray: 207.399994, colonm_point: 39
 t(3, 2), ray: 27 >> ray: 207.300003, colonm_point: 39
 t(3, 2), ray: 28 >> ray: 207.199997, colonm_point: 39
 t(3, 2), ray: 29 >> ray: 207.100006, colonm_point: 39
 t(3, 2), ray: 30 >> ray: 207.000000, colonm_point: 38
 t(3, 2), ray: 31 >> ray: 206.899994, colonm_point: 38
 t(3, 2), ray: 32 >> ray: 206.800003, colonm_point: 38
 t(3, 2), ray: 33 >> ray: 206.699997, colonm_point: 37
 t(3, 2), ray: 34 >> ray: 206.600006, colonm_point: 37
 t(3, 2), ray: 35 >> ray: 206.500000, colonm_point: 37
 t(3, 2), ray: 36 >> ray: 206.399994, colonm_point: 36
 t(3, 2), ray: 37 >> ray: 206.300003, colonm_point: 36
 t(3, 2), ray: 38 >> ray: 206.199997, colonm_point: 36
 t(3, 2), ray: 39 >> ray: 206.100006, colonm_point: 35
 t(3, 2), ray: 40 >> ray: 206.000000, colonm_point: 35
 t(3, 2), ray: 41 >> ray: 205.899994, colonm_point: 35
 t(3, 2), ray: 42 >> ray: 205.800003, colonm_point: 35
 t(3, 2), ray: 43 >> ray: 205.699997, colonm_point: 34
 t(3, 2), ray: 44 >> ray: 205.600006, colonm_point: 34
 t(3, 2), ray: 45 >> ray: 205.500000, colonm_point: 34
 t(3, 2), ray: 46 >> ray: 205.399994, colonm_point: 33
 t(3, 2), ray: 47 >> ray: 205.300003, colonm_point: 33
 t(3, 2), ray: 48 >> ray: 205.199997, colonm_point: 33
 t(3, 2), ray: 49 >> ray: 205.100006, colonm_point: 32
 t(3, 2), ray: 50 >> ray: 205.000000, colonm_point: 32
 t(3, 2), ray: 51 >> ray: 204.899994, colonm_point: 32
 t(3, 2), ray: 52 >> ray: 204.800003, colonm_point: 31
 t(3, 2), ray: 53 >> ray: 204.699997, colonm_point: 31
 t(3, 2), ray: 54 >> ray: 204.600006, colonm_point: 31
 t(3, 2), ray: 55 >> ray: 204.500000, colonm_point: 30
 t(3, 2), ray: 56 >> ray: 204.399994, colonm_point: 30
 t(3, 2), ray: 57 >> ray: 204.300003, colonm_point: 30
 t(3, 2), ray: 58 >> ray: 204.199997, colonm_point: 29
 t(3, 2), ray: 59 >> ray: 204.100006, colonm_point: 29
 t(3, 2), ray: 60 >> ray: 204.000000, colonm_point: 28
 t(3, 2), ray: 61 >> ray: 203.899994, colonm_point: 28
 t(3, 2), ray: 62 >> ray: 203.800003, colonm_point: 28
 t(3, 2), ray: 63 >> ray: 203.699997, colonm_point: 27
 t(3, 2), ray: 64 >> ray: 203.600006, colonm_point: 27
 t(3, 2), ray: 65 >> ray: 203.500000, colonm_point: 27
 t(3, 2), ray: 66 >> ray: 203.399994, colonm_point: 26
 t(3, 2), ray: 67 >> ray: 203.300003, colonm_point: 26
 t(3, 2), ray: 68 >> ray: 203.199997, colonm_point: 25
 t(3, 2), ray: 69 >> ray: 203.100006, colonm_point: 25
 t(3, 2), ray: 70 >> ray: 203.000000, colonm_point: 25
